model,K,profile_id,size,opaque_role_ids,target_model,target_K,target_profile,target_size,intersection_count,tiny_role_retention,jaccard,overlap_coefficient,global_best_for_target_model,nearest_lower_K,nearest_lower_profile,parent_tiny_role_retention,parent_jaccard
llama,8,L08_H,3,R036;R121;R246,qwen,10,Q10_F,2,2,0.6666666666666666,0.6666666666666666,1.0,False,7.0,L07_G,1.0,1.0
llama,9,L09_I,3,R036;R121;R246,gemma,4,G04_B,4,3,1.0,0.75,1.0,True,8.0,L08_H,1.0,1.0
llama,9,L09_I,3,R036;R121;R246,gemma,5,G05_A,4,3,1.0,0.75,1.0,True,8.0,L08_H,1.0,1.0
llama,9,L09_I,3,R036;R121;R246,gemma,6,G06_A,4,3,1.0,0.75,1.0,True,8.0,L08_H,1.0,1.0
llama,9,L09_I,3,R036;R121;R246,gemma,7,G07_B,4,3,1.0,0.75,1.0,True,8.0,L08_H,1.0,1.0
llama,9,L09_I,3,R036;R121;R246,gemma,8,G08_B,4,3,1.0,0.75,1.0,True,8.0,L08_H,1.0,1.0
llama,9,L09_I,3,R036;R121;R246,gemma,9,G09_A,3,2,0.6666666666666666,0.5,0.6666666666666666,False,8.0,L08_H,1.0,1.0
llama,9,L09_I,3,R036;R121;R246,gemma,10,G10_C,2,2,0.6666666666666666,0.6666666666666666,1.0,False,8.0,L08_H,1.0,1.0
llama,9,L09_I,3,R036;R121;R246,qwen,4,Q04_C,50,2,0.6666666666666666,0.0392156862745098,0.6666666666666666,False,8.0,L08_H,1.0,1.0
llama,9,L09_I,3,R036;R121;R246,qwen,5,Q05_E,30,2,0.6666666666666666,0.06451612903225806,0.6666666666666666,False,8.0,L08_H,1.0,1.0
llama,9,L09_I,3,R036;R121;R246,qwen,6,Q06_C,7,2,0.6666666666666666,0.25,0.6666666666666666,False,8.0,L08_H,1.0,1.0
llama,9,L09_I,3,R036;R121;R246,qwen,7,Q07_G,3,3,1.0,1.0,1.0,True,8.0,L08_H,1.0,1.0
llama,9,L09_I,3,R036;R121;R246,qwen,8,Q08_D,2,2,0.6666666666666666,0.6666666666666666,1.0,False,8.0,L08_H,1.0,1.0
llama,9,L09_I,3,R036;R121;R246,qwen,9,Q09_E,2,2,0.6666666666666666,0.6666666666666666,1.0,False,8.0,L08_H,1.0,1.0
llama,9,L09_I,3,R036;R121;R246,qwen,10,Q10_F,2,2,0.6666666666666666,0.6666666666666666,1.0,False,8.0,L08_H,1.0,1.0
llama,10,L10_D,2,R121;R246,gemma,4,G04_B,4,2,1.0,0.5,1.0,False,9.0,L09_I,1.0,0.6666666666666666
llama,10,L10_D,2,R121;R246,gemma,5,G05_A,4,2,1.0,0.5,1.0,False,9.0,L09_I,1.0,0.6666666666666666
llama,10,L10_D,2,R121;R246,gemma,6,G06_A,4,2,1.0,0.5,1.0,False,9.0,L09_I,1.0,0.6666666666666666
llama,10,L10_D,2,R121;R246,gemma,7,G07_B,4,2,1.0,0.5,1.0,False,9.0,L09_I,1.0,0.6666666666666666
llama,10,L10_D,2,R121;R246,gemma,8,G08_B,4,2,1.0,0.5,1.0,False,9.0,L09_I,1.0,0.6666666666666666
llama,10,L10_D,2,R121;R246,gemma,9,G09_A,3,2,1.0,0.6666666666666666,1.0,False,9.0,L09_I,1.0,0.6666666666666666
llama,10,L10_D,2,R121;R246,gemma,10,G10_C,2,2,1.0,1.0,1.0,True,9.0,L09_I,1.0,0.6666666666666666
llama,10,L10_D,2,R121;R246,qwen,4,Q04_C,50,2,1.0,0.04,1.0,False,9.0,L09_I,1.0,0.6666666666666666
llama,10,L10_D,2,R121;R246,qwen,5,Q05_E,30,2,1.0,0.06666666666666667,1.0,False,9.0,L09_I,1.0,0.6666666666666666
llama,10,L10_D,2,R121;R246,qwen,6,Q06_C,7,2,1.0,0.2857142857142857,1.0,False,9.0,L09_I,1.0,0.6666666666666666
llama,10,L10_D,2,R121;R246,qwen,7,Q07_G,3,2,1.0,0.6666666666666666,1.0,False,9.0,L09_I,1.0,0.6666666666666666
llama,10,L10_D,2,R121;R246,qwen,8,Q08_D,2,2,1.0,1.0,1.0,True,9.0,L09_I,1.0,0.6666666666666666
llama,10,L10_D,2,R121;R246,qwen,9,Q09_E,2,2,1.0,1.0,1.0,True,9.0,L09_I,1.0,0.6666666666666666
llama,10,L10_D,2,R121;R246,qwen,10,Q10_F,2,2,1.0,1.0,1.0,True,9.0,L09_I,1.0,0.6666666666666666
llama,10,L10_G,1,R036,gemma,4,G04_B,4,1,1.0,0.25,1.0,False,9.0,L09_I,1.0,0.3333333333333333
llama,10,L10_G,1,R036,gemma,5,G05_A,4,1,1.0,0.25,1.0,False,9.0,L09_I,1.0,0.3333333333333333
llama,10,L10_G,1,R036,gemma,6,G06_A,4,1,1.0,0.25,1.0,False,9.0,L09_I,1.0,0.3333333333333333
llama,10,L10_G,1,R036,gemma,7,G07_B,4,1,1.0,0.25,1.0,False,9.0,L09_I,1.0,0.3333333333333333
llama,10,L10_G,1,R036,gemma,8,G08_B,4,1,1.0,0.25,1.0,False,9.0,L09_I,1.0,0.3333333333333333
llama,10,L10_G,1,R036,gemma,9,G09_D,1,1,1.0,1.0,1.0,True,9.0,L09_I,1.0,0.3333333333333333
llama,10,L10_G,1,R036,gemma,10,G10_D,1,1,1.0,1.0,1.0,True,9.0,L09_I,1.0,0.3333333333333333
llama,10,L10_G,1,R036,qwen,4,Q04_D,65,1,1.0,0.015384615384615385,1.0,False,9.0,L09_I,1.0,0.3333333333333333
llama,10,L10_G,1,R036,qwen,5,Q05_C,55,1,1.0,0.01818181818181818,1.0,False,9.0,L09_I,1.0,0.3333333333333333
llama,10,L10_G,1,R036,qwen,6,Q06_D,53,1,1.0,0.018867924528301886,1.0,False,9.0,L09_I,1.0,0.3333333333333333
llama,10,L10_G,1,R036,qwen,7,Q07_G,3,1,1.0,0.3333333333333333,1.0,False,9.0,L09_I,1.0,0.3333333333333333
llama,10,L10_G,1,R036,qwen,8,Q08_B,48,1,1.0,0.020833333333333332,1.0,False,9.0,L09_I,1.0,0.3333333333333333
llama,10,L10_G,1,R036,qwen,9,Q09_F,1,1,1.0,1.0,1.0,True,9.0,L09_I,1.0,0.3333333333333333
llama,10,L10_G,1,R036,qwen,10,Q10_J,37,1,1.0,0.02702702702702703,1.0,False,9.0,L09_I,1.0,0.3333333333333333
qwen,7,Q07_G,3,R036;R121;R246,gemma,4,G04_B,4,3,1.0,0.75,1.0,True,6.0,Q06_C,0.6666666666666666,0.25
qwen,7,Q07_G,3,R036;R121;R246,gemma,5,G05_A,4,3,1.0,0.75,1.0,True,6.0,Q06_C,0.6666666666666666,0.25
qwen,7,Q07_G,3,R036;R121;R246,gemma,6,G06_A,4,3,1.0,0.75,1.0,True,6.0,Q06_C,0.6666666666666666,0.25
qwen,7,Q07_G,3,R036;R121;R246,gemma,7,G07_B,4,3,1.0,0.75,1.0,True,6.0,Q06_C,0.6666666666666666,0.25
qwen,7,Q07_G,3,R036;R121;R246,gemma,8,G08_B,4,3,1.0,0.75,1.0,True,6.0,Q06_C,0.6666666666666666,0.25
qwen,7,Q07_G,3,R036;R121;R246,gemma,9,G09_A,3,2,0.6666666666666666,0.5,0.6666666666666666,False,6.0,Q06_C,0.6666666666666666,0.25
qwen,7,Q07_G,3,R036;R121;R246,gemma,10,G10_C,2,2,0.6666666666666666,0.6666666666666666,1.0,False,6.0,Q06_C,0.6666666666666666,0.25
qwen,7,Q07_G,3,R036;R121;R246,llama,4,L04_D,3,3,1.0,1.0,1.0,True,6.0,Q06_C,0.6666666666666666,0.25
qwen,7,Q07_G,3,R036;R121;R246,llama,5,L05_E,3,3,1.0,1.0,1.0,True,6.0,Q06_C,0.6666666666666666,0.25
qwen,7,Q07_G,3,R036;R121;R246,llama,6,L06_F,3,3,1.0,1.0,1.0,True,6.0,Q06_C,0.6666666666666666,0.25
qwen,7,Q07_G,3,R036;R121;R246,llama,7,L07_G,3,3,1.0,1.0,1.0,True,6.0,Q06_C,0.6666666666666666,0.25
qwen,7,Q07_G,3,R036;R121;R246,llama,8,L08_H,3,3,1.0,1.0,1.0,True,6.0,Q06_C,0.6666666666666666,0.25
qwen,7,Q07_G,3,R036;R121;R246,llama,9,L09_I,3,3,1.0,1.0,1.0,True,6.0,Q06_C,0.6666666666666666,0.25
qwen,7,Q07_G,3,R036;R121;R246,llama,10,L10_D,2,2,0.6666666666666666,0.6666666666666666,1.0,False,6.0,Q06_C,0.6666666666666666,0.25
qwen,8,Q08_D,2,R121;R246,gemma,4,G04_B,4,2,1.0,0.5,1.0,False,7.0,Q07_G,1.0,0.6666666666666666
qwen,8,Q08_D,2,R121;R246,gemma,5,G05_A,4,2,1.0,0.5,1.0,False,7.0,Q07_G,1.0,0.6666666666666666
qwen,8,Q08_D,2,R121;R246,gemma,6,G06_A,4,2,1.0,0.5,1.0,False,7.0,Q07_G,1.0,0.6666666666666666
qwen,8,Q08_D,2,R121;R246,gemma,7,G07_B,4,2,1.0,0.5,1.0,False,7.0,Q07_G,1.0,0.6666666666666666
qwen,8,Q08_D,2,R121;R246,gemma,8,G08_B,4,2,1.0,0.5,1.0,False,7.0,Q07_G,1.0,0.6666666666666666
qwen,8,Q08_D,2,R121;R246,gemma,9,G09_A,3,2,1.0,0.6666666666666666,1.0,False,7.0,Q07_G,1.0,0.6666666666666666
qwen,8,Q08_D,2,R121;R246,gemma,10,G10_C,2,2,1.0,1.0,1.0,True,7.0,Q07_G,1.0,0.6666666666666666
qwen,8,Q08_D,2,R121;R246,llama,4,L04_D,3,2,1.0,0.6666666666666666,1.0,False,7.0,Q07_G,1.0,0.6666666666666666
qwen,8,Q08_D,2,R121;R246,llama,5,L05_E,3,2,1.0,0.6666666666666666,1.0,False,7.0,Q07_G,1.0,0.6666666666666666
qwen,8,Q08_D,2,R121;R246,llama,6,L06_F,3,2,1.0,0.6666666666666666,1.0,False,7.0,Q07_G,1.0,0.6666666666666666
qwen,8,Q08_D,2,R121;R246,llama,7,L07_G,3,2,1.0,0.6666666666666666,1.0,False,7.0,Q07_G,1.0,0.6666666666666666
qwen,8,Q08_D,2,R121;R246,llama,8,L08_H,3,2,1.0,0.6666666666666666,1.0,False,7.0,Q07_G,1.0,0.6666666666666666
qwen,8,Q08_D,2,R121;R246,llama,9,L09_I,3,2,1.0,0.6666666666666666,1.0,False,7.0,Q07_G,1.0,0.6666666666666666
qwen,8,Q08_D,2,R121;R246,llama,10,L10_D,2,2,1.0,1.0,1.0,True,7.0,Q07_G,1.0,0.6666666666666666
qwen,8,Q08_F,3,R007;R187;R243,gemma,4,G04_C,67,3,1.0,0.04477611940298507,1.0,False,6.0,Q06_C,1.0,0.42857142857142855
qwen,8,Q08_F,3,R007;R187;R243,gemma,5,G05_D,40,3,1.0,0.075,1.0,False,6.0,Q06_C,1.0,0.42857142857142855
qwen,8,Q08_F,3,R007;R187;R243,gemma,6,G06_D,29,3,1.0,0.10344827586206896,1.0,False,6.0,Q06_C,1.0,0.42857142857142855
qwen,8,Q08_F,3,R007;R187;R243,gemma,7,G07_E,23,3,1.0,0.13043478260869565,1.0,False,6.0,Q06_C,1.0,0.42857142857142855
qwen,8,Q08_F,3,R007;R187;R243,gemma,8,G08_A,10,3,1.0,0.3,1.0,False,6.0,Q06_C,1.0,0.42857142857142855
qwen,8,Q08_F,3,R007;R187;R243,gemma,9,G09_I,19,3,1.0,0.15789473684210525,1.0,False,6.0,Q06_C,1.0,0.42857142857142855
qwen,8,Q08_F,3,R007;R187;R243,gemma,10,G10_I,7,3,1.0,0.42857142857142855,1.0,True,6.0,Q06_C,1.0,0.42857142857142855
qwen,8,Q08_F,3,R007;R187;R243,llama,4,L04_C,63,3,1.0,0.047619047619047616,1.0,False,6.0,Q06_C,1.0,0.42857142857142855
qwen,8,Q08_F,3,R007;R187;R243,llama,5,L05_C,42,3,1.0,0.07142857142857142,1.0,False,6.0,Q06_C,1.0,0.42857142857142855
qwen,8,Q08_F,3,R007;R187;R243,llama,6,L06_C,28,3,1.0,0.10714285714285714,1.0,False,6.0,Q06_C,1.0,0.42857142857142855
qwen,8,Q08_F,3,R007;R187;R243,llama,7,L07_B,18,3,1.0,0.16666666666666666,1.0,False,6.0,Q06_C,1.0,0.42857142857142855
qwen,8,Q08_F,3,R007;R187;R243,llama,8,L08_C,11,3,1.0,0.2727272727272727,1.0,False,6.0,Q06_C,1.0,0.42857142857142855
qwen,8,Q08_F,3,R007;R187;R243,llama,9,L09_D,7,3,1.0,0.42857142857142855,1.0,False,6.0,Q06_C,1.0,0.42857142857142855
qwen,8,Q08_F,3,R007;R187;R243,llama,10,L10_J,6,3,1.0,0.5,1.0,True,6.0,Q06_C,1.0,0.42857142857142855
qwen,9,Q09_E,2,R121;R246,gemma,4,G04_B,4,2,1.0,0.5,1.0,False,8.0,Q08_D,1.0,1.0
qwen,9,Q09_E,2,R121;R246,gemma,5,G05_A,4,2,1.0,0.5,1.0,False,8.0,Q08_D,1.0,1.0
qwen,9,Q09_E,2,R121;R246,gemma,6,G06_A,4,2,1.0,0.5,1.0,False,8.0,Q08_D,1.0,1.0
qwen,9,Q09_E,2,R121;R246,gemma,7,G07_B,4,2,1.0,0.5,1.0,False,8.0,Q08_D,1.0,1.0
qwen,9,Q09_E,2,R121;R246,gemma,8,G08_B,4,2,1.0,0.5,1.0,False,8.0,Q08_D,1.0,1.0
qwen,9,Q09_E,2,R121;R246,gemma,9,G09_A,3,2,1.0,0.6666666666666666,1.0,False,8.0,Q08_D,1.0,1.0
qwen,9,Q09_E,2,R121;R246,gemma,10,G10_C,2,2,1.0,1.0,1.0,True,8.0,Q08_D,1.0,1.0
qwen,9,Q09_E,2,R121;R246,llama,4,L04_D,3,2,1.0,0.6666666666666666,1.0,False,8.0,Q08_D,1.0,1.0
qwen,9,Q09_E,2,R121;R246,llama,5,L05_E,3,2,1.0,0.6666666666666666,1.0,False,8.0,Q08_D,1.0,1.0
qwen,9,Q09_E,2,R121;R246,llama,6,L06_F,3,2,1.0,0.6666666666666666,1.0,False,8.0,Q08_D,1.0,1.0
qwen,9,Q09_E,2,R121;R246,llama,7,L07_G,3,2,1.0,0.6666666666666666,1.0,False,8.0,Q08_D,1.0,1.0
qwen,9,Q09_E,2,R121;R246,llama,8,L08_H,3,2,1.0,0.6666666666666666,1.0,False,8.0,Q08_D,1.0,1.0
qwen,9,Q09_E,2,R121;R246,llama,9,L09_I,3,2,1.0,0.6666666666666666,1.0,False,8.0,Q08_D,1.0,1.0
qwen,9,Q09_E,2,R121;R246,llama,10,L10_D,2,2,1.0,1.0,1.0,True,8.0,Q08_D,1.0,1.0
qwen,9,Q09_F,1,R036,gemma,4,G04_B,4,1,1.0,0.25,1.0,False,7.0,Q07_G,1.0,0.3333333333333333
qwen,9,Q09_F,1,R036,gemma,5,G05_A,4,1,1.0,0.25,1.0,False,7.0,Q07_G,1.0,0.3333333333333333
qwen,9,Q09_F,1,R036,gemma,6,G06_A,4,1,1.0,0.25,1.0,False,7.0,Q07_G,1.0,0.3333333333333333
qwen,9,Q09_F,1,R036,gemma,7,G07_B,4,1,1.0,0.25,1.0,False,7.0,Q07_G,1.0,0.3333333333333333
qwen,9,Q09_F,1,R036,gemma,8,G08_B,4,1,1.0,0.25,1.0,False,7.0,Q07_G,1.0,0.3333333333333333
qwen,9,Q09_F,1,R036,gemma,9,G09_D,1,1,1.0,1.0,1.0,True,7.0,Q07_G,1.0,0.3333333333333333
qwen,9,Q09_F,1,R036,gemma,10,G10_D,1,1,1.0,1.0,1.0,True,7.0,Q07_G,1.0,0.3333333333333333
qwen,9,Q09_F,1,R036,llama,4,L04_D,3,1,1.0,0.3333333333333333,1.0,False,7.0,Q07_G,1.0,0.3333333333333333
qwen,9,Q09_F,1,R036,llama,5,L05_E,3,1,1.0,0.3333333333333333,1.0,False,7.0,Q07_G,1.0,0.3333333333333333
qwen,9,Q09_F,1,R036,llama,6,L06_F,3,1,1.0,0.3333333333333333,1.0,False,7.0,Q07_G,1.0,0.3333333333333333
qwen,9,Q09_F,1,R036,llama,7,L07_G,3,1,1.0,0.3333333333333333,1.0,False,7.0,Q07_G,1.0,0.3333333333333333
qwen,9,Q09_F,1,R036,llama,8,L08_H,3,1,1.0,0.3333333333333333,1.0,False,7.0,Q07_G,1.0,0.3333333333333333
qwen,9,Q09_F,1,R036,llama,9,L09_I,3,1,1.0,0.3333333333333333,1.0,False,7.0,Q07_G,1.0,0.3333333333333333
qwen,9,Q09_F,1,R036,llama,10,L10_G,1,1,1.0,1.0,1.0,True,7.0,Q07_G,1.0,0.3333333333333333
qwen,10,Q10_F,2,R121;R246,gemma,4,G04_B,4,2,1.0,0.5,1.0,False,9.0,Q09_E,1.0,1.0
qwen,10,Q10_F,2,R121;R246,gemma,5,G05_A,4,2,1.0,0.5,1.0,False,9.0,Q09_E,1.0,1.0
qwen,10,Q10_F,2,R121;R246,gemma,6,G06_A,4,2,1.0,0.5,1.0,False,9.0,Q09_E,1.0,1.0
qwen,10,Q10_F,2,R121;R246,gemma,7,G07_B,4,2,1.0,0.5,1.0,False,9.0,Q09_E,1.0,1.0
qwen,10,Q10_F,2,R121;R246,gemma,8,G08_B,4,2,1.0,0.5,1.0,False,9.0,Q09_E,1.0,1.0
qwen,10,Q10_F,2,R121;R246,gemma,9,G09_A,3,2,1.0,0.6666666666666666,1.0,False,9.0,Q09_E,1.0,1.0
qwen,10,Q10_F,2,R121;R246,gemma,10,G10_C,2,2,1.0,1.0,1.0,True,9.0,Q09_E,1.0,1.0
qwen,10,Q10_F,2,R121;R246,llama,4,L04_D,3,2,1.0,0.6666666666666666,1.0,False,9.0,Q09_E,1.0,1.0
qwen,10,Q10_F,2,R121;R246,llama,5,L05_E,3,2,1.0,0.6666666666666666,1.0,False,9.0,Q09_E,1.0,1.0
qwen,10,Q10_F,2,R121;R246,llama,6,L06_F,3,2,1.0,0.6666666666666666,1.0,False,9.0,Q09_E,1.0,1.0
qwen,10,Q10_F,2,R121;R246,llama,7,L07_G,3,2,1.0,0.6666666666666666,1.0,False,9.0,Q09_E,1.0,1.0
qwen,10,Q10_F,2,R121;R246,llama,8,L08_H,3,2,1.0,0.6666666666666666,1.0,False,9.0,Q09_E,1.0,1.0
qwen,10,Q10_F,2,R121;R246,llama,9,L09_I,3,2,1.0,0.6666666666666666,1.0,False,9.0,Q09_E,1.0,1.0
qwen,10,Q10_F,2,R121;R246,llama,10,L10_D,2,2,1.0,1.0,1.0,True,9.0,Q09_E,1.0,1.0
qwen,10,Q10_G,3,R007;R187;R243,gemma,4,G04_C,67,3,1.0,0.04477611940298507,1.0,False,8.0,Q08_F,1.0,1.0
qwen,10,Q10_G,3,R007;R187;R243,gemma,5,G05_D,40,3,1.0,0.075,1.0,False,8.0,Q08_F,1.0,1.0
qwen,10,Q10_G,3,R007;R187;R243,gemma,6,G06_D,29,3,1.0,0.10344827586206896,1.0,False,8.0,Q08_F,1.0,1.0
qwen,10,Q10_G,3,R007;R187;R243,gemma,7,G07_E,23,3,1.0,0.13043478260869565,1.0,False,8.0,Q08_F,1.0,1.0
qwen,10,Q10_G,3,R007;R187;R243,gemma,8,G08_A,10,3,1.0,0.3,1.0,False,8.0,Q08_F,1.0,1.0
qwen,10,Q10_G,3,R007;R187;R243,gemma,9,G09_I,19,3,1.0,0.15789473684210525,1.0,False,8.0,Q08_F,1.0,1.0
qwen,10,Q10_G,3,R007;R187;R243,gemma,10,G10_I,7,3,1.0,0.42857142857142855,1.0,True,8.0,Q08_F,1.0,1.0
qwen,10,Q10_G,3,R007;R187;R243,llama,4,L04_C,63,3,1.0,0.047619047619047616,1.0,False,8.0,Q08_F,1.0,1.0
qwen,10,Q10_G,3,R007;R187;R243,llama,5,L05_C,42,3,1.0,0.07142857142857142,1.0,False,8.0,Q08_F,1.0,1.0
qwen,10,Q10_G,3,R007;R187;R243,llama,6,L06_C,28,3,1.0,0.10714285714285714,1.0,False,8.0,Q08_F,1.0,1.0
qwen,10,Q10_G,3,R007;R187;R243,llama,7,L07_B,18,3,1.0,0.16666666666666666,1.0,False,8.0,Q08_F,1.0,1.0
qwen,10,Q10_G,3,R007;R187;R243,llama,8,L08_C,11,3,1.0,0.2727272727272727,1.0,False,8.0,Q08_F,1.0,1.0
qwen,10,Q10_G,3,R007;R187;R243,llama,9,L09_D,7,3,1.0,0.42857142857142855,1.0,False,8.0,Q08_F,1.0,1.0
qwen,10,Q10_G,3,R007;R187;R243,llama,10,L10_J,6,3,1.0,0.5,1.0,True,8.0,Q08_F,1.0,1.0
